Country,Life expectancy
Japan,82.5375
Sweden,82.51875
Iceland,82.44375
Switzerland,82.33125
France,82.21875
Italy,82.1875
Spain,82.06875
Australia,81.8125
Norway,81.79375
Canada,81.6875
Austria,81.48125
Singapore,81.475
New Zealand,81.3375
Israel,81.3
Greece,81.21875
Germany,81.175
Netherlands,81.13125
United Kingdom,80.79375
Luxembourg,80.78125
Finland,80.7125
Belgium,80.68125
South Korea,80.4875
Malta,80.3625
Ireland,80.15
Portugal,79.99375
Slovenia,79.73125
Cyprus,79.675
Chile,79.45
Denmark,79.25625
Costa Rica,78.59375
United States of America,78.0625
Cuba,77.975
Qatar,77.03125
Czech Republic,76.76875
Panama,76.4875
Brunei,76.4875
Croatia,76.11875
Uruguay,76.075
Bosnia and Herzegovina,75.96875
Bahrain,75.725
Mexico,75.71875
United Arab Emirates,75.7
Poland,75.65
Maldives,75.5375
Albania,75.15625
Argentina,75.15625
Antigua and Barbuda,75.05625
Estonia,74.94375
Oman,74.84375
Vietnam,74.775
Slovakia,74.75
Ecuador,74.725
Montenegro,74.5
Barbados,74.35625
Tunisia,74.35625
Jamaica,74.29375
Bahamas,74.2875
China,74.2625
Lebanon,74.2
Macedonia,74.1125
Romania,74.05
Republic of Serbia,73.95625
Turkey,73.9125
Iran,73.85625
Kuwait,73.84375
Hungary,73.825
Malaysia,73.75625
Latvia,73.73125
Peru,73.6625
Samoa,73.61875
Algeria,73.61875
Saint Lucia,73.6
Georgia,73.50625000000001
Saint Vincent and the Grenadines,73.475
Saudi Arabia,73.46875
Nicaragua,73.45
Sri Lanka,73.4
Armenia,73.4
Venezuela,73.3875
Brazil,73.38125
Grenada,73.29375
Colombia,73.2875
Paraguay,73.1125
Thailand,73.08125
Honduras,72.99375
Jordan,72.9875
Bulgaria,72.85
Lithuania,72.80625
Mauritius,72.7125
Tonga,72.53125
Cabo Verde,72.51875
Libya,72.4875
Seychelles,72.375
Dominican Republic,72.34375
Morocco,72.15625
El Salvador,71.74375
Guatemala,71.73125
Egypt,71.5
Vanuatu,71.3875
Trinidad and Tobago,71.06875
Syria,70.85
Azerbaijan,70.73125
Iraq,70.35625
Suriname,70.08125
Moldova,69.98125
Ukraine,69.9375
Belarus,69.90625
Bangladesh,69.3
Belize,69.26875
North Korea,69.19375
Kyrgyzstan,69.08125
Fiji,68.7125
Micronesia (Federated States of),68.2
Uzbekistan,68.03125
Russia,67.7625
Solomon Islands,67.7125
Bolivia,67.70625
Philippines,67.575
Indonesia,67.55625
Kazakhstan,66.7625
Tajikistan,66.65625
Nepal,66.48125
Bhutan,66.1625
Mongolia,65.8875
Guyana,65.6375
India,65.41875
Sao Tome and Principe,65.1625
Kiribati,65.15
Timor-Leste,64.75625
Turkmenistan,64.61874999999999
Pakistan,64.5
Cambodia,64.34375
Myanmar,64.2
Yemen,63.8625
Mauritania,62.8
Madagascar,62.74375
Senegal,62.56875
Laos,62.38125
Gabon,62.24375
Sudan,61.825
Papua New Guinea,61.68125
Comoros,61.58125
Ghana,60.8625
Djibouti,60.75625
Eritrea,60.6875
Namibia,60.4
Haiti,59.86875
Gambia,59.4625
Rwanda,59.3125
Ethiopia,59.1125
Republic of the Congo,59.04375
Afghanistan,58.19375
Benin,57.56875
Liberia,57.525
South Africa,57.5
Kenya,57.48125
Niger,56.98125
Togo,56.6625
Botswana,56.05
Guinea,56.0125
United Republic of Tanzania,56.00625
Uganda,55.70625
Democratic Republic of the Congo,55.6875
Burkina Faso,55.64375
Burundi,55.5375
Guinea-Bissau,55.36875
Equatorial Guinea,55.3125
Mali,54.9375
Cameroon,54.01875
Zambia,53.90625
South Sudan,53.875
Mozambique,53.39375
Somalia,53.31875
Nigeria,51.35625
Swaziland,51.325
Zimbabwe,50.4875
Côte d'Ivoire,50.3875
Chad,50.3875
Malawi,49.89375
Angola,49.01875
Lesotho,48.78125
Central African Republic,48.5125
Sierra Leone,46.1125
