Year,Life expectancy,GDP
2015,65.0,584.25921
2014,59.9,612.696514
2013,59.9,631.744976
2012,59.5,669.959
2011,59.2,63.537231
2010,58.8,553.32894
2009,58.6,445.8932979
2008,58.1,373.3611163
2007,57.5,369.835796
2006,57.3,272.56377
2005,57.3,25.2941299
2004,57.0,219.1413528
2003,56.7,198.7285436
2002,56.2,187.84595
2001,55.3,117.49698
2000,54.8,114.56
2015,77.8,3954.22783
2014,77.5,4575.763787
2013,77.2,4414.72314
2012,76.9,4247.61438
2011,76.6,4437.17868
2010,76.2,494.358832
2009,76.1,4114.136545
2008,75.3,437.539647
2007,75.9,363.13685
2006,74.2,35.1293
2005,73.5,279.142931
2004,73.0,2416.588235
2003,72.8,189.681557
2002,73.3,1453.642777
2001,73.6,1326.97339
2000,72.6,1175.788981
2015,75.6,4132.76292
2014,75.4,547.8517
2013,75.3,5471.866766
2012,75.1,5564.82566
2011,74.9,5432.2523
2010,74.7,4463.394675
2009,74.4,3868.83123
2008,74.1,495.254866
2007,73.8,3935.183343
2006,73.4,3464.6179
2005,72.9,31.122378
2004,72.3,2598.9823
2003,71.7,294.33556
2002,71.6,1774.33673
2001,71.4,1732.857979
2000,71.3,1757.17797
2015,52.4,3695.793748
2014,51.7,479.31224
2013,51.1,484.616884
2012,56.0,4598.249988
2011,51.0,4299.12889
2010,49.6,3529.53482
2009,49.1,3347.84485
2008,48.7,3868.578883
2007,48.2,2878.837144
2006,47.7,262.415149
2005,47.4,1443.991929
2004,47.1,141.86844
2003,46.8,779.468356
2002,46.5,711.181716
2001,45.7,526.168743
2000,45.3,555.2969419
2015,76.4,13566.9541
2014,76.2,12888.29667
2013,76.1,12224.86416
2012,75.9,12565.44197
2011,75.7,11929.34991
2010,75.6,12126.87614
2009,75.4,1312.46692
2008,75.2,1473.31923
2007,75.0,14252.29452
2006,74.8,12724.39377
2005,74.6,11371.93895
2004,74.4,1352.8374
2003,74.2,9739.82556
2002,74.0,9386.716452
2001,73.8,9358.154162
2000,73.6,9875.161736
2015,76.3,13467.1236
2014,76.2,12245.25645
2013,76.0,12976.63642
2012,75.9,12969.7712
2011,75.7,12726.9836
2010,75.5,1276.265
2009,75.6,8161.36966
