state,state_code,year,minJanuary,minFebruary,minMarch,minApril,minMay,minJune,minJuly,minAugust,minSeptember,minOctober,minNovember,minDecember,maxJanuary,maxFebruary,maxMarch,maxApril,maxMay,maxJune,maxJuly,maxAugust,maxSeptember,maxOctober,maxNovember,maxDecember
Alabama,001,1895,33.4,26.8,42.4,51.2,58.4,66.5,68.8,69.3,66.4,45.2,41.4,32.7,52.7,48.1,66.5,75.7,80.6,88.4,89.6,89.7,89.1,74.2,65.1,57.1
Alabama,001,1896,34,36.4,41.2,55.6,63.9,66.9,70.7,70.4,62.6,50.6,45.8,35.1,53,59,63.9,80.6,87.8,87.9,91.6,94,89.2,75.8,68.9,57.7
Alabama,001,1897,31.4,41.2,50.4,50.1,55.9,68.3,70.2,68.1,62.5,53.1,41.4,36.9,52.1,61,69.9,74.8,82.2,94,92.8,89.5,88.7,81,67.1,58
Alabama,001,1898,38.8,34.2,48.5,46.4,60.2,68,69.6,69.2,65.1,49.6,38.7,32.5,59.1,58,69.9,71,88,92.7,90.5,88.4,85.4,72.3,61,54.3
Alabama,001,1899,33.1,28.6,43.5,50.8,63.6,67.6,68.9,69.9,59.4,54,42.8,33.8,54.4,51.4,67.8,72.6,88.6,92.3,91.9,92,86.3,78.1,67.8,55.6
Alabama,001,1900,31.9,32.4,41.3,51.6,58.4,67.4,69.1,68.9,66,58.2,43,35.7,55.3,56.4,64.5,76.7,84.4,85.2,90.6,93.5,89.1,78.2,66.4,57.4
Alabama,001,1901,34.5,32.3,41.1,46.2,57.1,66.5,69.8,67.8,61,48.8,34.7,30.5,57.5,53.9,65.5,70,84,91.1,95.1,89.6,83.7,76.2,62.7,53.6
Alabama,001,1902,30.9,30.6,44,49.3,63.1,67.8,70.1,70,62.5,50.6,45.9,34.9,55.4,50.9,66.2,74.9,88.3,94.6,96.1,94.6,84.8,75.6,69.2,55.6
Alabama,001,1903,33.3,36.8,50.5,48.2,58.7,62.2,68.8,69.4,59.8,49.4,38.7,27.3,53.5,59.5,68.4,74,81,85.1,92,91.8,86.7,77,62.5,52.8
Alabama,001,1904,29.7,37.6,45.8,47.3,56.2,64.9,66.6,67.6,63.7,49.2,39.2,34.8,52.6,60.2,70.3,72.7,84.2,91.3,90.6,89.6,90.3,80.1,64.9,57
Alabama,001,1905,27.5,28.6,46.7,51.8,63.7,67.3,68.4,69,64.3,53,42.7,32.8,49.8,49.5,71.6,75.7,85.4,91.4,91.1,89.8,88.2,74.4,68,52.6
Alabama,001,1906,35.1,32,39.9,50.7,57.7,67.1,68.5,69.2,68.1,48.5,41.2,38.9,57.2,58.1,61.9,79.1,82.1,91.1,89.9,91.7,88.6,72.6,68.8,60.4
Alabama,001,1907,42.2,36,51.2,46.2,57.4,63,69.6,68.4,63.5,49.7,39.2,35,65,60.6,77.3,70,79.2,88.2,92.8,92.5,86.8,76.9,62.8,55.5
Alabama,001,1908,32.2,32.8,49.8,55.2,59.6,65.5,68.7,67.9,62,45.3,43.3,38.7,54.6,55.2,74.6,79.7,84,90.4,91.9,91.4,87,75.3,70.3,61.6
Alabama,001,1909,38.2,37.2,44,50.6,56.6,67.4,69.3,69.2,63.3,47.3,44.3,29.6,61,63.2,67.8,75.6,81.4,89,91.5,92.8,87.3,79.1,74.8,52.1
Alabama,001,1910,33,33,45.9,47.6,56,64.2,68.8,67.9,64.4,53.3,37.6,30.6,57.6,56.9,75.2,75.8,81.9,86.9,88.8,91.2,90.3,79.5,64.1,53.2
Alabama,001,1911,38.6,43,44.2,52.1,58.7,67.5,67.2,68.1,67.9,56.6,37.6,38.5,61.3,65.4,71.1,74.9,86.6,93.9,89.1,89.8,92.5,80.4,62.6,60.1
Alabama,001,1912,29,30.2,41,52.7,59.2,64.4,69.1,68,66.2,54.2,35.7,36.9,51.4,55.1,63.6,76,84.8,85.8,90.2,90.2,87.5,77.6,64.8,56.9
Alabama,001,1913,40,35.5,43.5,49.1,58.2,64.6,69.8,67.7,62.4,47.7,41.5,37.5,62.5,58.2,66.5,75,84.6,91.1,92.7,93.4,84,73.9,70.1,57.2
Alabama,001,1914,35.2,33.3,37.8,50.9,57.7,69.8,69.8,68.7,61.8,52.8,38.8,34,58.8,57.4,62.2,76.7,85.4,96.4,93.9,89.6,84.5,74.8,65.8,51.5
Alabama,001,1915,31.6,36.6,34.5,49.5,62.5,66.3,68.6,68,64.3,54.7,42.2,34.1,53.3,58.9,58.1,79,86.1,90.8,92.2,90.1,88.5,78,70.4,58
Alabama,001,1916,41,33.7,40.6,48.9,59.8,65.2,69.9,68.3,60.8,50.3,39.5,35.4,62.6,59.9,67.1,74.7,86.2,89,87.3,91.3,86.6,78,68.5,58.2
Alabama,001,1917,39.4,35.9,44.2,49.6,52.3,64.6,68.7,67.3,61.9,43.5,36.9,28.7,60,60.9,68.7,77.5,79.7,90.9,90.9,89.5,84.4,73.4,64.3,50.9
Alabama,001,1918,26.1,41.2,49,49.9,59.9,67,65.9,68.1,57.7,58.8,40.8,40,48.6,65.2,74.6,71.8,85.3,92.2,90.6,92.4,83.1,78.4,64.5,59.5
Alabama,001,1919,31.7,36.4,43.2,48.3,58.2,67.5,69.2,68.7,62,63.4,45.1,35.2,56.3,58.5,69,76.2,79.8,88.9,90.1,89.6,88.2,84.7,69,58.8
Alabama,001,1920,37,35.8,40.5,50.7,60,65.2,68.6,67.8,65.7,49.1,37.8,34.2,56.8,56.5,63.7,73.7,80.9,88.7,90.1,87.4,87.9,78.4,63.3,55.2
Alabama,001,1921,37.5,38.5,51,49.1,57.5,67.7,69.9,68.9,68.6,48.1,45.1,38.5,61.1,62,75.9,74.5,82.3,93.2,92.9,91.8,93.2,76.7,70.1,62.6
Alabama,001,1922,37.4,43.3,44.3,54.8,61.1,67,68.6,67.1,64,52.1,44.1,42.9,55.4,64.3,66.6,77.8,82.1,89.9,91.1,90.4,90,77,69,63.7
Alabama,001,1923,39,35.8,41.7,50.9,58.4,65.9,67.6,68.8,63.9,49.9,38.5,44.1,62.8,57.7,66.7,74.8,79.8,87.4,89.4,88.5,87.7,76,63.7,62.8
Alabama,001,1924,28.5,34.9,39,50.4,55,68.3,67.5,68.7,61.2,48.9,40.5,36.3,52.7,58,61.8,74.8,79.5,90.6,91.9,94.3,83.6,79.1,69.7,58.5
Alabama,001,1925,37.1,40.2,43.5,53.8,56.3,67.9,69.5,67.4,69.4,53.8,40.4,32.2,57.2,64.3,70.8,80.8,82.6,93.3,93.6,93.3,96.8,75.8,63.2,55.7
Alabama,001,1926,33.7,38,38.1,46.8,56.6,65.3,67.2,70.2,68.1,53.8,37.2,38.9,53.8,62.1,59.8,74,83.4,89.4,90.9,90.4,89.8,78.3,61.5,61.8
Alabama,001,1927,36.2,46.7,44.5,55.3,60.3,67.8,68.7,66.3,63.4,51.6,47.2,34.7,59.5,68.7,67.4,79.8,84.8,88.3,92.4,89.8,90.8,81.5,71.4,57
Alabama,001,1928,31.9,35.6,43.4,47,56.7,65.7,69.6,69.6,61,55,40.1,33.1,56,59,67.1,71.4,81.5,86,91.4,91.6,84.8,79.4,64.5,58.3
Alabama,001,1929,36.3,34.3,46.9,54.6,60.2,65.4,68.1,66.8,63.9,50.3,45.1,32.1,59.9,56.4,70.5,78.1,82.1,88.5,91.4,93,84.9,74.4,62.6,56.2
Alabama,001,1930,33.9,40.3,40.4,50.4,60.2,63.5,69.8,66.5,65.9,49.4,43.3,33,55.7,65.8,62.8,78.8,84.4,89.9,96.9,91.7,86.9,73.6,62.6,52.3
Alabama,001,1931,32.1,36.3,37.5,47.7,55.1,64.6,69.9,65.9,65.6,54.1,46.4,45,55.3,61.6,60.7,74,80.7,93.8,92.5,89,92.2,80.9,73,63.6
Alabama,001,1932,41.2,45.9,38.4,50.6,57.4,66.9,71.1,69.4,63.9,49.3,37.4,39.3,62.5,68,63,77.2,81.3,90,93.6,91.1,84.7,74.7,60.5,58.9
Alabama,001,1933,41.2,37.5,42.4,50.2,63.5,64.3,68.8,68.4,66.1,52.4,40.2,43.3,61.6,58.7,67.4,73.7,87.7,91.8,89.3,90.8,91.6,78.1,67.1,66.5
Alabama,001,1934,38,31.2,40.2,50.8,59.4,67.8,70.4,69.8,61.5,53.1,43.2,34.3,58.6,56.4,65.9,76.1,83,91.1,92,90.4,86.5,78.5,68.4,55.3
Alabama,001,1935,35.6,36.7,48.6,52.4,60.1,64.2,69.3,69.8,61.9,52.1,43.4,28.8,57.9,60.3,72.2,75,83.8,88.3,91.9,91.8,86.2,80,66.1,49.4
Alabama,001,1936,32,33.3,45.2,48.7,59.7,66.1,69.8,68.8,66.1,53.7,39.4,38.9,54.2,55.8,71.4,73.6,85.7,94.6,92.6,91.5,89.3,78.2,64.1,58.5
Alabama,001,1937,48.9,36.7,39.5,49.2,59.9,67.9,67.4,69.2,61.4,50.6,38.8,34.9,65,58.3,64.7,75.8,84.4,91.3,91.3,91.3,84.2,73,61.4,55.9
