state,year,max,avg,min
1,1895-01,52.7,43.1,33.4
1,1895-02,48.1,37.4,26.8
1,1895-03,66.5,54.5,42.4
1,1895-04,75.7,63.4,51.2
1,1895-05,80.6,69.5,58.4
1,1895-06,88.4,77.5,66.5
1,1895-07,89.6,79.2,68.8
1,1895-08,89.7,79.5,69.3
1,1895-09,89.1,77.8,66.4
1,1895-10,74.2,59.7,45.2
1,1895-11,65.1,53.2,41.4
1,1895-12,57.1,44.9,32.7
1,1896-01,53,43.5,34
1,1896-02,59,47.7,36.4
1,1896-03,63.9,52.5,41.2
1,1896-04,80.6,68,55.6
1,1896-05,87.8,75.9,63.9
1,1896-06,87.9,77.4,66.9
1,1896-07,91.6,81.2,70.7
1,1896-08,94,82.2,70.4
1,1896-09,89.2,75.9,62.6
1,1896-10,75.8,63.2,50.6
1,1896-11,68.9,57.3,45.8
1,1896-12,57.7,46.4,35.1
1,1897-01,52.1,41.8,31.4
1,1897-02,61,51.1,41.2
1,1897-03,69.9,60.2,50.4
1,1897-04,74.8,62.4,50.1
1,1897-05,82.2,69,55.9
1,1897-06,94,81.2,68.3
1,1897-07,92.8,81.5,70.2
1,1897-08,89.5,78.8,68.1
1,1897-09,88.7,75.6,62.5
1,1897-10,81,67.1,53.1
1,1897-11,67.1,54.2,41.4
1,1897-12,58,47.4,36.9
1,1898-01,59.1,49,38.8
1,1898-02,58,46.1,34.2
1,1898-03,69.9,59.2,48.5
1,1898-04,71,58.8,46.4
1,1898-05,88,74.1,60.2
1,1898-06,92.7,80.4,68
1,1898-07,90.5,80,69.6
1,1898-08,88.4,78.8,69.2
1,1898-09,85.4,75.2,65.1
1,1898-10,72.3,61,49.6
1,1898-11,61,49.8,38.7
1,1898-12,54.3,43.4,32.5
1,1899-01,54.4,43.8,33.1
1,1899-02,51.4,40,28.6
1,1899-03,67.8,55.6,43.5
1,1899-04,72.6,61.7,50.8
1,1899-05,88.6,76.1,63.6
1,1899-06,92.3,79.9,67.6
1,1899-07,91.9,80.4,68.9
1,1899-08,92,80.9,69.9
1,1899-09,86.3,72.8,59.4
1,1899-10,78.1,66,54
1,1899-11,67.8,55.3,42.8
1,1899-12,55.6,44.7,33.8
