common_name,scientific_name,count,height_M,diameter_breast_height_binned_CM
Afghan pine,Pinus eldarica,26,85.02,27.54
American basswood,Tilia americana,1,59.05512,7.62
American elm,Ulmus americana,37,100.11,40.31
American holly,Ilex opaca,1,39.37008,7.62
Amur maple,Acer ginnala,2,44.29,7.62
Apple,Malus domestica,3,82.021,30.48
Apricot,Prunus armeniaca,1,68.89764,38.1
Arizona cypress,Cupressus arizonica,18,123.57,44.82
Arizona sycamore,Platanus wrightii,45,154.43,32.57
Ash,Fraxinus,148,114.75,35.67
Austrian pine,Pinus nigra,149,81.44,27.01
Basswood,Tilia,2,60.69,15.24
Bigtooth maple,Acer grandidentatum,14,43.91,7.62
Black locust,Robinia pseudoacacia,13,91.86,29.89
Blue atlas cedar,Cedrus atlantica,3,65.61,17.78
Blue spruce,Picea pungens,20,70.53,20.45
Boxelder,Acer negundo,29,84.57,22.31
Bradford pear callery pear,Pyrus calleryana,13,57.96,16.76
Bristlecone pine,Pinus aristata,3,16.4,7.62
Broadleaf deciduous large,NA,4,118.93,27.94
Broadleaf deciduous medium,NA,1,170.60368,22.86
Broadleaf deciduous small,NA,11,36.98,7.62
Bur oak,Quercus macrocarpa,41,83.66,21.62
Catalpa,Catalpa,12,51,12.7
Cedar elm,Ulmus crassifolia,4,44.29,7.62
Cherry plum,Prunus cerasifera,7,41.33,13.71
Chinese elm,Ulmus parvifolia,82,76.73,20.18
Chinese pistache,Pistacia chinensis,54,70.87,21.36
Chinkapin oak,Quercus muehlenbergii,12,65.61,10.16
Chitalpa,Chitalpa tashkentensis,8,91.31,22.86
Common chokecherry,Prunus virginiana,25,49.92,12.25
Conifer evergreen large,NA,1,134.51444,38.1
Cottonwood,Populus deltoides,52,165.39,69.82
Crabapple,Malus,127,42.56,14.92
Crape myrtle,Lagerstroemia,1,39.37008,22.86
Dawn redwood,Metasequoia glyptostroboides,6,26.24,10.16
Deodar cedar,Cedrus deodara,37,91.18,17.91
Desert willow,Chilopsis linearis,63,69.8,17.36
Douglas fir,Pseudotsuga menziesii,1,147.6378,38.1
Eastern red cedar,Juniperus virginiana,10,125,50.29
Eastern redbud,Cercis canadensis,7,50.3,22.86
Elderberry,Sambucus,2,198.49,53.34
Elm,Ulmus,39,134.08,36.66
Elm hybrid,Ulmus,68,59.7,9.86
English oak,Quercus robur,5,62.99,13.71
Fremont cottonwood,Populus fremontii,5,131.23,68.58
Ginkgo,Ginkgo biloba,2,49.2126,7.62
Globe willow,Salix matsudana,9,125.4,62
Golden rain tree,Koelreuteria paniculata,47,63.06,21.12
Green ash,Fraxinus pennsylvanica,20,74.76,23.66
Greenstone,Ulmus davidiana,8,74.91,17.14
Hardy rubber tree,Eucommia ulmoides,4,35.26,7.62
Honeylocust,Gleditsia triacanthos,159,79.35,24.76
Italian stone pine,Pinus pinea,3,109.36,12.7
Japanese black pine,Pinus thunbergii,2,88.58,15.24
Japanese pagoda tree,Styphnolobium japonicum,35,82.89,33.16
Japanese zelkova,Zelkova serrata,2,32.8084,22.86
Juniper,Juniperus,18,115.21,42.43
Kentucky coffeetree,Gymnocladus dioicus,9,5155,9.79
Lanceleaf cottonwood,Populus acuminata,2,196.8504,100
Leyland false cypress,Cupressus leylandii,12,91.59,21.59
Limber pine,Pinus flexilis,7,71.24,27.21
Littleleaf linden,Tilia cordata,28,73.35,21.73
Locust,NA,11,57.41,19.81
London plane,Platanus acerifolia,186,128.67,27.53
Maple,Acer,5,82.67,19.81
Mimosa,Albizia julibrissin,8,58.64,27.94
Mountain ash,Sorbus,2,68.89,22.86
Mulberry,Morus,4,222.27,84.44
Netleaf hackberry,Celtis reticulata,4,106.62,22.86
New mexico locust,Robinia neomexicana,10,59.05,16.76
New mexico olive,Forestiera neomexicana,3,49.2126,7.62
Northern catalpa,Catalpa speciosa,1,114.8294,38.1
Northern hackberry,Celtis occidentalis,32,82.56,27.28
Northern red oak,Quercus rubra,1,NA,22.86
Norway maple,Acer platanoides,1,114.8294,53.34
Oak,Quercus,6,53.14,7.62
Oklahoma redbud,Cercis canadensis,29,43.93,13.6
One seed juniper,Juniperus monosperma,1,108.26772,100
Osage orange,Maclura pomifera,5,91.86,53.52
Pear,Pyrus,62,69.91,20.55
Pine,Pinus,8,132.32,40.64
Pinyon pine,Pinus edulis,15,86.94,15.93
Plains cottonwood,Populus sargentii,5,93.17,81.14
Plum,Prunus,20,56.1,24.38
Ponderosa pine,Pinus ponderosa,47,158.1,49.11
Quaking aspen,Populus tremuloides,1,59.05512,7.62
Raywood ash,Fraxinus oxycarpa,60,61.99,20.06
Red mulberry,Morus rubra,1,131.2336,100
Rocky mountain juniper,Juniperus scopulorum,4,85.3,48.22
Russian olive,Elaeagnus angustifolia,2,147.6378,38.1
Scotch pine,Pinus sylvestris,11,111.54,34.71
Shumard oak,Quercus shumardii,15,67.38,17.41
Siberian elm,Ulmus pumila,216,200.75,80.31
Silver maple,Acer saccharinum,1,131.2336,53.34
Spruce,Picea,1,118.11024,NA
Texas red oak,Quercus buckleyi,73,74.69,15.67
Tree of heaven,Ailanthus altissima,12,102.6,29.78
Velvet ash arizona ash,Fraxinus velutina,16,136.04,38.1
Vitex,Vitex agnus-castus,11,35.26,9
White ash,Fraxinus americana,32,79.86,25.34
